"","X.miRNA","precursor","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"72","hsa-miR-106a-3p","hsa-mir-106a",2.34,3.75,4.81,0,3.27,3.61,0,0.75
"73","hsa-miR-106b-5p","hsa-mir-106b",150.13,217.7,301.92,160.29,130.2,150.35,128.31,140.41
"74","hsa-miR-106b-3p","hsa-mir-106b",438.24,434.46,373,420.94,327.78,404.75,464.14,406.29
"75","hsa-miR-107","hsa-mir-107",1126.71,1657.15,1822.23,1531.84,1328.79,1216.67,1413.46,1386.92
"76","hsa-miR-10a-5p","hsa-mir-10a",37346,82211.68,38876.11,78371.71,77642.91,70327.89,92511.65,89663.05
"77","hsa-miR-10a-3p","hsa-mir-10a",1121.56,1721.89,1294.27,1915.14,1744.89,1712.84,2303.64,2271.21
"78","hsa-miR-10b-5p","hsa-mir-10b",160509.84,231830.52,176155.02,221497.27,142425.8,131644.15,109202.55,104406.86
"79","hsa-miR-10b-3p","hsa-mir-10b",1970.45,3332.12,2448.53,3148.7,2143.99,1868,1379.38,1590.07
"80","hsa-miR-11181-5p","hsa-mir-11181",0,0,0,0,0,0,0,0
"81","hsa-miR-11181-3p","hsa-mir-11181",0,0,0,0,0,0,0,0
"82","hsa-miR-11399","hsa-mir-11399",0,0,0,0,0,0,0,1.49
"83","hsa-miR-11400","hsa-mir-11400",0,0,0,0,0,0,0,0
"84","hsa-miR-11401","hsa-mir-11401",0.47,0.94,0.53,1.39,0,0.6,0,0.75
"85","hsa-miR-1178-5p","hsa-mir-1178",0,0,0,0,0,0,0,0
"86","hsa-miR-1178-3p","hsa-mir-1178",0,0,0,0,0,0,0,0
"87","hsa-miR-1179","hsa-mir-1179",8.42,2.82,8.55,2.79,7.85,7.22,8.02,5.23
"88","hsa-miR-1180-5p","hsa-mir-1180",0,0,0,0,0,0,0,0
"89","hsa-miR-1180-3p","hsa-mir-1180",323.65,502.02,330.78,617.47,441.62,449.26,591.45,590.02
"90","hsa-miR-1181","hsa-mir-1181",0,0,0,0,0,0,0,0
"91","hsa-miR-1182","hsa-mir-1182",0,0,0,0,0,0,0,0
"92","hsa-miR-1183","hsa-mir-1183",0,0,0,0,0,0,0,0
"93","hsa-miR-1184","hsa-mir-1184-1",0,0,0,0,0,0,0,0
"94","hsa-miR-1184","hsa-mir-1184-2",0,0,0,0,0,0,0,0
"95","hsa-miR-1184","hsa-mir-1184-3",0,0,0,0,0,0,0,0
"96","hsa-miR-1185-5p","hsa-mir-1185-1",0,0,0.53,0,0,0.6,0,0
"97","hsa-miR-1185-1-3p","hsa-mir-1185-1",5.61,6.57,5.34,2.79,3.27,7.82,1,0
"98","hsa-miR-1185-5p","hsa-mir-1185-2",0,0,0.53,0,0,0.6,0,0
"99","hsa-miR-1185-2-3p","hsa-mir-1185-2",2.34,0,2.14,0,0,1.2,0,0
"100","hsa-miR-1193","hsa-mir-1193",0,0,0,0,0,0,0,0
"101","hsa-miR-1197","hsa-mir-1197",5.61,0,3.74,0,0.65,1.8,0,1.49
"102","hsa-miR-1199-5p","hsa-mir-1199",0,0,0,0,0,0,0,0
"103","hsa-miR-1199-3p","hsa-mir-1199",0,0,0,0,0,0,0,0
"104","hsa-miR-1200","hsa-mir-1200",0,0,0,0,0,0,0,0
"105","hsa-miR-1202","hsa-mir-1202",0,0,0,0,0,0,0,0
"106","hsa-miR-1203","hsa-mir-1203",0,0,0,0,0,0,0,0
"107","hsa-miR-1204","hsa-mir-1204",0,0,0,0,0,0,0,0
"108","hsa-miR-1205","hsa-mir-1205",0,0,0,0,0,0,0,0
"109","hsa-miR-1206","hsa-mir-1206",0,0,0,0,0,0,0,0
"110","hsa-miR-1207-5p","hsa-mir-1207",0,0,0,0,0,0,0,0
"111","hsa-miR-1207-3p","hsa-mir-1207",0,0,0,0,0,0,0,0
"112","hsa-miR-1208","hsa-mir-1208",0,0,0,0,0,0,0,0
"113","hsa-miR-12113","hsa-mir-12113",0,0,0,0,0,0,0,0
"114","hsa-miR-12114","hsa-mir-12114",0,0,0,0,0,0,0,0
"115","hsa-miR-12115","hsa-mir-12115",0,0,0,0,0,0,0,0
"116","hsa-miR-12116","hsa-mir-12116",0,0,0,0,0,0,0,0
"117","hsa-miR-12117","hsa-mir-12117",0,0,0,0,0,0,0,0
"118","hsa-miR-12118","hsa-mir-12118",0,0,0,0,0,0,0,0
"119","hsa-miR-12119","hsa-mir-12119",0,0,0,0,0,0,0,0
"120","hsa-miR-12120","hsa-mir-12120",0,0,0,0,0,0,0,0
"121","hsa-miR-12121","hsa-mir-12121",0,0,0,0,0,0,0,0
"122","hsa-miR-12122","hsa-mir-12122",0,0,0,0,0,0,0,0
"123","hsa-miR-12123","hsa-mir-12123",0,0,0,0,0,0,0,0
"124","hsa-miR-12124","hsa-mir-12124",0,0,0,0,0,0,0,0
"125","hsa-miR-12125","hsa-mir-12125",0,0,0,0,0,0,0,0
"126","hsa-miR-12126","hsa-mir-12126",0,0,0,0,0,0,0,0
"127","hsa-miR-12127","hsa-mir-12127",0,0,0,0,0,0,0,0
"128","hsa-miR-12128","hsa-mir-12128",0,0,0,0,0,0,0,0
"129","hsa-miR-12129","hsa-mir-12129",0,0,0,0,0,0,0,0
"130","hsa-miR-12130","hsa-mir-12130",0,0,0,0,0,0,0,0
"131","hsa-miR-12131","hsa-mir-12131",0,0,0,0,0,0,0,0
"132","hsa-miR-12132","hsa-mir-12132",0,0,0,0,0,0,0,0
"133","hsa-miR-12133","hsa-mir-12133",0,0,0,0,0,0,0,0
"134","hsa-miR-12135","hsa-mir-12135",0,0,0,0,0,0,0,0
"135","hsa-miR-12136","hsa-mir-12136",9.35,20.64,10.69,15.33,12.43,12.63,10.02,16.43
"136","hsa-miR-122-5p","hsa-mir-122",14.5,10.32,16.03,22.3,4.58,3.61,7.02,5.23
"137","hsa-miR-122-3p","hsa-mir-122",0,0,0,0,0,0,0,0
"138","hsa-miR-1224-5p","hsa-mir-1224",38.35,33.78,36.87,50.18,23.55,18.64,38.09,35.1
"139","hsa-miR-1224-3p","hsa-mir-1224",0,0,0.53,0,0,0,0,0.75
"140","hsa-miR-1225-5p","hsa-mir-1225",0,0,0,0,0,0,0,0
"141","hsa-miR-1225-3p","hsa-mir-1225",0,0,0,0,0,0,0,0
"142","hsa-miR-1226-5p","hsa-mir-1226",1.4,0,0.53,2.79,0,0,1,0.75
"143","hsa-miR-1226-3p","hsa-mir-1226",17.77,28.15,19.24,22.3,36.64,23.46,36.09,26.14
"144","hsa-miR-1227-5p","hsa-mir-1227",0,0,0,0,0,0,0,0
"145","hsa-miR-1227-3p","hsa-mir-1227",3.27,0.94,0.53,1.39,1.31,0,2,0
"146","hsa-miR-1228-5p","hsa-mir-1228",0,0.94,0,0,0.65,0,0,0
"147","hsa-miR-1228-3p","hsa-mir-1228",0,0.94,0,0,0,0,0,0
"148","hsa-miR-1229-5p","hsa-mir-1229",0,0,0,1.39,0,0,0,0
"149","hsa-miR-1229-3p","hsa-mir-1229",0.94,1.88,0.53,5.58,2.62,1.8,4.01,0.75
"150","hsa-miR-122b-5p","hsa-mir-122b",0,0,0,0,0,0.6,0,0
"151","hsa-miR-122b-3p","hsa-mir-122b",0,0,0,0,0,0,0,0
"152","hsa-miR-1231","hsa-mir-1231",0,0,0,0,0,0,1,0
"153","hsa-miR-1233-5p","hsa-mir-1233-1",0,0,0,0,0,0,0,0
"154","hsa-miR-1233-3p","hsa-mir-1233-1",0,0,0,1.39,0.65,0,0,0.75
"155","hsa-miR-1233-5p","hsa-mir-1233-2",0,0,0,0,0,0,0,0
"156","hsa-miR-1233-3p","hsa-mir-1233-2",0,0,0,1.39,0.65,0,0,0.75
"157","hsa-miR-1234-3p","hsa-mir-1234",0.47,0,0,0,0,0,0,0
"158","hsa-miR-1236-5p","hsa-mir-1236",0,0,0,0,0,0,1,0
"159","hsa-miR-1236-3p","hsa-mir-1236",0.94,1.88,0,0,0,0,0,0
"160","hsa-miR-1237-5p","hsa-mir-1237",0,0,0,0,0,0,0,0
"161","hsa-miR-1237-3p","hsa-mir-1237",0.47,0.94,0,0,0,0,0,0
"162","hsa-miR-1238-5p","hsa-mir-1238",0,0,0,0,0,0,0,0
"163","hsa-miR-1238-3p","hsa-mir-1238",0,0,0,0,0,0,0,0
"164","hsa-miR-124-5p","hsa-mir-124-1",82.78,116.36,112.75,124.05,100.1,89.01,81.2,82.15
"165","hsa-miR-124-3p","hsa-mir-124-1",1467.2,2066.27,1908.8,1793.88,1328.14,1182.39,1118.74,1183.78
"166","hsa-miR-124-5p","hsa-mir-124-2",82.78,116.36,112.75,124.05,100.1,89.01,81.2,82.15
"167","hsa-miR-124-3p","hsa-mir-124-2",1467.2,2066.27,1908.8,1793.88,1328.14,1182.39,1118.74,1183.78
"168","hsa-miR-124-5p","hsa-mir-124-3",82.78,116.36,112.22,124.05,100.1,89.01,81.2,82.15
"169","hsa-miR-124-3p","hsa-mir-124-3",1467.2,2066.27,1908.8,1793.88,1328.14,1182.39,1118.74,1183.78
"170","hsa-miR-1243","hsa-mir-1243",3.27,5.63,3.21,5.58,3.93,3.01,5.01,2.99
"171","hsa-miR-1244","hsa-mir-1244-1",0,0,0,0,0,0,0,0
"172","hsa-miR-1244","hsa-mir-1244-2",0,0,0,0,0,0,0,0
"173","hsa-miR-1244","hsa-mir-1244-3",0,0,0,0,0,0,0,0
"174","hsa-miR-1244","hsa-mir-1244-4",0,0,0,0,0,0,0,0
"175","hsa-miR-1245a","hsa-mir-1245a",0,0,0,0,0,0,0,0
"176","hsa-miR-1245b-5p","hsa-mir-1245b",0,0,0,0,0,0,0,0
"177","hsa-miR-1245b-3p","hsa-mir-1245b",0,0,0,0,0,0,0,0
"178","hsa-miR-1246","hsa-mir-1246",1041.59,341.56,817.6,543.6,336.29,298.3,879.15,682.63
"179","hsa-miR-1247-5p","hsa-mir-1247",5.14,1.88,1.07,1.39,4.58,5.41,8.02,5.23
"180","hsa-miR-1247-3p","hsa-mir-1247",1.4,0,0,0,0.65,0,2,0
"181","hsa-miR-1248","hsa-mir-1248",1.87,0,3.21,0,0,1.2,2,2.24
"182","hsa-miR-1249-5p","hsa-mir-1249",0.47,0,0,1.39,0.65,1.2,2,2.24
"183","hsa-miR-1249-3p","hsa-mir-1249",5.14,23.46,7.48,34.85,21.59,22.25,33.08,22.41
"184","hsa-miR-1250-5p","hsa-mir-1250",53.79,60.99,66.8,48.78,32.06,33.68,78.19,84.4
"185","hsa-miR-1250-3p","hsa-mir-1250",0,0,0,0,0,0,0,0
"186","hsa-miR-1251-5p","hsa-mir-1251",114.12,128.56,111.69,117.08,117.11,138.93,151.37,138.92
"187","hsa-miR-1251-3p","hsa-mir-1251",3.27,3.75,4.81,4.18,1.96,4.81,3.01,3.73
"188","hsa-miR-1252-5p","hsa-mir-1252",6.55,8.45,5.34,2.79,1.96,3.01,6.01,5.23
"189","hsa-miR-1252-3p","hsa-mir-1252",0,0,0.53,0,0,0,1,0
"190","hsa-miR-1253","hsa-mir-1253",0.47,0.94,0.53,0,0,0,0,0
"191","hsa-miR-1255a","hsa-mir-1255a",2.81,8.45,0.53,8.36,1.31,3.61,8.02,6.72
"192","hsa-miR-1255b-5p","hsa-mir-1255b-1",0,0,0.53,0,0,0,0,0
"193","hsa-miR-1255b-5p","hsa-mir-1255b-2",0,0,0.53,0,0,0,0,0
"194","hsa-miR-1255b-2-3p","hsa-mir-1255b-2",0,0,0,0,0,0,0,0
"195","hsa-miR-1256","hsa-mir-1256",0.47,0.94,0,1.39,0.65,0,0,1.49
"196","hsa-miR-1257","hsa-mir-1257",0,0,0,0,0,0,0,0
"197","hsa-miR-1258","hsa-mir-1258",0,0,0,0,0,0,0,0
"198","hsa-miR-125a-5p","hsa-mir-125a",5266.86,10768.63,5446.4,10725.64,11718.99,9033.28,7214.68,7918.23
"199","hsa-miR-125a-3p","hsa-mir-125a",21.98,17.83,13.89,19.51,20.28,17.44,16.04,17.92
"200","hsa-miR-125b-5p","hsa-mir-125b-1",9795.2,16290.88,13376.06,17968.05,16759.36,15024,8758.46,9454.53
"201","hsa-miR-125b-1-3p","hsa-mir-125b-1",317.11,366.9,265.05,354.04,339.56,340.4,290.71,295.76
"202","hsa-miR-125b-5p","hsa-mir-125b-2",9674.54,16154.82,13217.88,17834.24,16620.01,14868.83,8699.31,9399.26
"203","hsa-miR-125b-2-3p","hsa-mir-125b-2",128.62,89.14,156.57,111.51,153.1,155.17,65.16,67.22
"204","hsa-miR-126-5p","hsa-mir-126",8.89,15.95,11.22,9.76,5.89,7.22,4.01,2.99
"205","hsa-miR-126-3p","hsa-mir-126",944.77,973.08,727.82,882.3,554.81,631.49,531.3,560.15
"206","hsa-miR-1260a","hsa-mir-1260a",0,0,0,0,0,0,0,0
"207","hsa-miR-1260b","hsa-mir-1260b",1.4,3.75,2.14,5.58,9.81,5.41,11.03,11.2
"208","hsa-miR-1261","hsa-mir-1261",0,0,0,0,0,0.6,0,0
"209","hsa-miR-1262","hsa-mir-1262",0,0,0,0,0,2.41,0,0.75
"210","hsa-miR-1263","hsa-mir-1263",0,0,0,0,0,0,0,0
"211","hsa-miR-1264","hsa-mir-1264",0.47,0.94,1.07,0,4.58,3.01,18.04,20.91
"212","hsa-miR-1265","hsa-mir-1265",0,0,0,0,0,0,0,0
"213","hsa-miR-1266-5p","hsa-mir-1266",0,0,0,0,0,0.6,0,0
"214","hsa-miR-1266-3p","hsa-mir-1266",0,0,0,0,0,0,0,0
"215","hsa-miR-1267","hsa-mir-1267",1.4,5.63,4.28,2.79,3.27,2.41,7.02,2.99
"216","hsa-miR-1268a","hsa-mir-1268a",0.47,0,0.53,4.18,1.31,4.81,0,1.49
"217","hsa-miR-1268b","hsa-mir-1268b",0.47,0,0.53,4.18,1.31,4.81,0,1.49
"218","hsa-miR-1269a","hsa-mir-1269a",14.97,18.77,5.34,9.76,5.23,4.21,2,2.99
"219","hsa-miR-1269b","hsa-mir-1269b",0,0,0,0,0,0,0,0
"220","hsa-miR-127-5p","hsa-mir-127",0,0,0,0,0,0,0,0.75
"221","hsa-miR-127-3p","hsa-mir-127",3.74,3.75,0.53,0,9.16,12.03,7.02,1.49
"222","hsa-miR-1270","hsa-mir-1270",1.4,2.82,2.14,1.39,3.27,3.61,3.01,5.23
"223","hsa-miR-1271-5p","hsa-mir-1271",84.66,132.31,99.39,107.33,102.06,86.6,129.32,114.27
"224","hsa-miR-1271-3p","hsa-mir-1271",0.94,3.75,0,0,1.96,3.01,0,1.49
"225","hsa-miR-1272","hsa-mir-1272",0,0,0,0,0,0,0,0
"226","hsa-miR-1273c","hsa-mir-1273c",0,1.88,1.6,0,0,1.8,0,2.24
"227","hsa-miR-1273h-5p","hsa-mir-1273h",1.4,1.88,1.6,2.79,0.65,1.2,1,4.48
"228","hsa-miR-1273h-3p","hsa-mir-1273h",5.14,9.38,2.67,11.15,5.23,4.21,6.01,6.72
"229","hsa-miR-1275","hsa-mir-1275",5.61,28.15,16.57,30.66,16.36,16.24,27.07,29.13
"230","hsa-miR-1276","hsa-mir-1276",9.35,9.38,4.81,2.79,11.78,2.41,10.02,5.97
"231","hsa-miR-1277-5p","hsa-mir-1277",3.74,15.01,6.95,11.15,24.21,11.43,16.04,24.65
"232","hsa-miR-1277-3p","hsa-mir-1277",2.81,0.94,0.53,1.39,5.23,1.8,3.01,2.99
"233","hsa-miR-1278","hsa-mir-1278",4.21,1.88,1.07,0,3.93,3.61,0,5.23
"234","hsa-miR-1279","hsa-mir-1279",0,0,0,0,0,0,0,0
"235","hsa-miR-128-1-5p","hsa-mir-128-1",5.61,15.01,5.34,15.33,7.85,10.83,5.01,10.46
"236","hsa-miR-128-3p","hsa-mir-128-1",15084.04,23270.41,12722.51,26984.83,36055.27,26735.39,27076.34,29370.36
"237","hsa-miR-128-3p","hsa-mir-128-2",11338.17,17469.47,9847.55,20488.12,26929.08,19961.63,20733.8,23050.41
"238","hsa-miR-128-2-5p","hsa-mir-128-2",1.87,0,0,0,0.65,2.41,1,0.75
"239","hsa-miR-1281","hsa-mir-1281",0,0,0,0,0,0,0,0
"240","hsa-miR-1282","hsa-mir-1282",0,0,0,0,0,0,0,0
"241","hsa-miR-1283","hsa-mir-1283-1",0.47,0,0,0,0,0.6,0,0
"242","hsa-miR-1283","hsa-mir-1283-2",0.47,0,0,0,0,0.6,0,0
"243","hsa-miR-1284","hsa-mir-1284",0.94,2.82,0.53,2.79,3.93,3.61,2,2.99
"244","hsa-miR-1285-5p","hsa-mir-1285-1",0.47,0.94,0.53,0,0.65,0.6,2,0.75
"245","hsa-miR-1285-3p","hsa-mir-1285-1",11.69,12.2,13.89,23.7,13.09,9.62,18.04,20.17
"246","hsa-miR-1285-3p","hsa-mir-1285-2",11.22,11.26,12.83,22.3,12.43,9.62,14.03,20.17
"247","hsa-miR-1286","hsa-mir-1286",1.4,0.94,1.6,0,0.65,1.8,2,2.24
"248","hsa-miR-1287-5p","hsa-mir-1287",36.48,35.66,48.09,47.39,30.75,33.68,85.21,91.12
"249","hsa-miR-1287-3p","hsa-mir-1287",0.47,0,0,0,0,0,0,0.75
"250","hsa-miR-1288-5p","hsa-mir-1288",0,0,0,0,0,0,0,0
"251","hsa-miR-1288-3p","hsa-mir-1288",2.81,0.94,1.6,1.39,0.65,1.2,1,0.75
"252","hsa-miR-1289","hsa-mir-1289-1",0,0,0.53,0,0,2.41,1,0.75
"253","hsa-miR-1289","hsa-mir-1289-2",0,0,0.53,0,0,1.8,1,0.75
"254","hsa-miR-129-5p","hsa-mir-129-1",15569.99,18660.25,10147.33,22870.21,10655.18,8149.8,12129.72,11728.72
"255","hsa-miR-129-1-3p","hsa-mir-129-1",121.6,91.02,144.82,94.78,76.55,79.99,102.25,73.19
"256","hsa-miR-129-5p","hsa-mir-129-2",15560.17,18653.68,10143.06,22847.9,10651.9,8143.19,12124.71,11721.26
"257","hsa-miR-129-2-3p","hsa-mir-129-2",588.84,338.75,614,292.71,225.06,211.1,210.52,203.15
"258","hsa-miR-1290","hsa-mir-1290",0.94,0.94,2.14,1.39,0.65,0.6,2,0.75
"259","hsa-miR-1291","hsa-mir-1291",5.61,7.51,9.08,9.76,9.16,6.62,11.03,7.47
"260","hsa-miR-1292-5p","hsa-mir-1292",4.21,11.26,3.21,0,11.12,7.82,11.03,6.72
"261","hsa-miR-1292-3p","hsa-mir-1292",0,0,0,0,0,0,0,0
"262","hsa-miR-1293","hsa-mir-1293",0,0,0,0,0,0,0,0
"263","hsa-miR-1294","hsa-mir-1294",0,0,0.53,0,0.65,2.41,2,0
"264","hsa-miR-1295a","hsa-mir-1295a",0,0,0,0,0.65,0,0,0
"265","hsa-miR-1295b-5p","hsa-mir-1295b",0,0,0,0,0,0,0,0
"266","hsa-miR-1295b-3p","hsa-mir-1295b",0,0,0,0,0,0,0,0
"267","hsa-miR-1296-5p","hsa-mir-1296",256.3,267.43,264.52,281.56,244.04,206.89,280.69,277.09
"268","hsa-miR-1296-3p","hsa-mir-1296",0,0,0,0,0,0,0,0
"269","hsa-miR-1297","hsa-mir-1297",0,0,0,0,0,0,0,0
"270","hsa-miR-1298-5p","hsa-mir-1298",21.05,12.2,18.7,15.33,39.26,39.09,384.94,337.58
"271","hsa-miR-1298-3p","hsa-mir-1298",3.74,2.82,3.21,4.18,5.89,4.21,75.18,82.9
"272","hsa-miR-1299","hsa-mir-1299",0,0,0,0,0,0,0,0
"273","hsa-miR-1301-5p","hsa-mir-1301",0,0,0,0,0,0,0,0
"274","hsa-miR-1301-3p","hsa-mir-1301",96.35,173.6,102.07,220.23,175.34,153.36,124.3,174.02
"275","hsa-miR-1302","hsa-mir-1302-1",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
"276","hsa-miR-1302","hsa-mir-1302-10",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
"277","hsa-miR-1302","hsa-mir-1302-11",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
"278","hsa-miR-1302","hsa-mir-1302-2",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
"279","hsa-miR-1302","hsa-mir-1302-3",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
"280","hsa-miR-1302","hsa-mir-1302-4",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
"281","hsa-miR-1302","hsa-mir-1302-5",1.4,4.69,5.34,4.18,1.96,2.41,0,0.75
