"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-23-7SD6MSRMV",0,0,0,2,1,0
"tRF-23-7SDR2SN1V",0,0,0,1,0,0
"tRF-23-7SDR69OKV",1,0,0,0,0,0
"tRF-23-7SDRJH710J",1,0,0,0,0,0
"tRF-23-7SDRJRWMDV",2,0,0,1,0,0
"tRF-23-7SER9I69DV",0,1,0,0,0,0
"tRF-23-7SERM492V",2,0,0,0,0,1
"tRF-23-7SERML92V",2,0,0,0,0,0
"tRF-23-7SFR2W9JDV",0,0,0,0,0,1
"tRF-23-7SFRJ4O1V",3,0,0,1,2,0
"tRF-23-7SHRJFWRV",1,0,0,1,0,0
"tRF-23-7SHRMF3RV",0,1,0,0,0,0
"tRF-23-7SHRMFWRV",55,11,31,15,6,6
"tRF-23-7SHRRNWJV",0,0,4,0,0,0
"tRF-23-7SI7JP8XDV",0,0,0,3,0,0
"tRF-23-7SIR3DR2DV",1,0,8,0,1,0
"tRF-23-7SIR69OKV",0,0,0,0,0,2
"tRF-23-7SIRM1DVV",1,1,0,0,0,0
"tRF-23-7SIRM1JVV",1,0,0,0,0,0
"tRF-23-7UXP18RZ0M",2,0,0,0,0,1
"tRF-23-7UYK7IVI0E",3,0,0,0,0,0
"tRF-23-7VD5YEYYD2",0,0,3,0,0,0
"tRF-23-7W1R7HFEV",2,0,0,1,0,0
"tRF-23-7Z2R14PSDZ",0,0,0,1,0,0
"tRF-23-7Z2R1HPSDZ",1,0,5,0,1,0
"tRF-23-81PV6RRNDL",0,0,2,0,0,0
"tRF-23-83ML5F82DQ",0,0,0,4,0,3
"tRF-23-83ML5F92D5",20,4,87,8,5,17
"tRF-23-83RL5FZUDP",0,1,0,0,0,0
"tRF-23-86J8WPMNY",20,4,34,9,3,2
"tRF-23-86V8WPMNY",4,2,0,6,1,2
"tRF-23-877343RXDX",10,1,9,0,1,2
"tRF-23-87R718YKDE",3,1,4,0,0,4
"tRF-23-897PVP94Z",5,1,13,5,4,2
"tRF-23-8FLUD3KS0E",0,0,2,1,3,0
"tRF-23-8K587SI7DI",0,0,4,0,0,0
"tRF-23-8KIJL3R7S",0,0,7,0,0,0
"tRF-23-8LHYD3MU0E",0,1,0,0,1,0
"tRF-23-8PHPDJXW0E",0,0,0,0,1,0
"tRF-23-8RQFR9OMDP",0,1,0,0,0,0
"tRF-23-8W1W188M8",0,0,0,1,0,0
"tRF-23-93QO945N6",0,0,0,0,0,2
"tRF-23-941QKS3WD1",0,0,0,0,2,0
"tRF-23-94V4SMIFX",0,0,12,0,0,0
"tRF-23-9D5HLYOZDO",0,0,0,1,0,0
"tRF-23-9DH48V7K05",1,0,0,1,0,1
"tRF-23-9DWUH6QEDK",2,0,0,0,0,0
"tRF-23-9LON4VN18",2,0,13,1,0,0
"tRF-23-9M739P8WD8",0,0,1,1,1,0
"tRF-23-9MVH7P59DP",6,3,23,0,1,0
"tRF-23-9N1EWJQ7D1",5,1,18,1,0,0
"tRF-23-9N1EWJQ7DI",0,0,0,0,0,1
"tRF-23-9NF5W8EZD6",0,0,5,3,0,1
"tRF-23-9NS334L2DB",9,0,17,0,0,0
"tRF-23-9P9MH57SD3",12,2,14,19,5,1
"tRF-23-9P9NH5SYDQ",0,0,0,0,0,1
"tRF-23-9PMNH5ISD3",4,2,5,9,6,2
"tRF-23-9Q53K87SDD",0,1,0,0,0,0
"tRF-23-9XEO7N980E",0,0,0,0,1,0
"tRF-23-B4ZPEK45DD",0,0,0,1,1,0
"tRF-23-BE7XO8Q6DI",5,3,0,3,1,3
"tRF-23-BJ8FFDXXW",0,0,0,1,0,0
"tRF-23-BZBZOS4YV",40,12,137,19,10,35
"tRF-23-D5F1D0396",0,0,3,0,0,0
"tRF-23-DF4YO9XED2",0,0,4,0,0,0
"tRF-23-DHXY6RHDD2",0,0,0,1,0,0
"tRF-23-DI2OOIQOD5",1,0,0,0,0,0
"tRF-23-DMI2669K0P",0,0,0,0,0,1
"tRF-23-DRFO8U7S7",2,0,0,0,0,0
"tRF-23-DRFU8U767",2,3,20,2,0,0
"tRF-23-DRFU8U7SZ",4,0,0,0,0,0
"tRF-23-DWY2MJ8F02",3,0,4,0,0,0
"tRF-23-E07JL3RXY",2,0,3,0,0,0
"tRF-23-E0LV9DYXDD",1,0,0,0,0,0
"tRF-23-E6199M88D0",0,0,18,0,0,0
"tRF-23-E7OMJHHSZ",0,0,16,5,0,0
"tRF-23-EUB4ZPEKD5",2,0,6,3,0,0
"tRF-23-EXBIYFSPY",0,0,6,0,0,0
"tRF-23-EXEY0VWUD2",266,61,2077,196,113,530
"tRF-23-EZOMJFHSZ",10,2,19,2,0,1
"tRF-23-EZOMJHHSZ",7,4,24,7,2,2
"tRF-23-F0QV7NLED1",1,0,0,0,0,0
"tRF-23-F36VF8DH0M",1,0,0,0,0,0
"tRF-23-FI23W8WRDX",0,0,0,0,1,0
"tRF-23-FKWE6MODDI",0,0,0,1,0,0
"tRF-23-FP18LPMBD8",7,1,15,3,3,2
"tRF-23-FSXMSL730H",5,0,9,4,1,2
"tRF-23-H3RUSMKVDP",1,0,0,0,0,1
"tRF-23-H3RXSINH0P",2,0,9,0,0,2
"tRF-23-H7V3LY7S7",1,0,0,0,0,0
"tRF-23-H7V3LY7SDE",0,0,0,2,0,0
"tRF-23-HDK2RSI203",6,1,16,3,0,5
"tRF-23-HDK2RSI20K",18,7,23,5,3,10
"tRF-23-HDPORSM30K",0,0,2,0,0,0
"tRF-23-HEPURYX30K",1,0,0,0,0,0
"tRF-23-HMI8W47WZ",1,0,2,0,0,1
"tRF-23-HPDJXW7S7",0,0,0,1,0,0
"tRF-23-HR13M87S9",0,0,0,1,0,0
"tRF-23-HUB689XXD2",0,0,7,1,0,0
"tRF-23-HUXRPM46D2",0,0,6,0,0,0
"tRF-23-HXDD1KYKD3",1,1,0,0,0,0
"tRF-23-HY0DFKN5DR",0,1,0,0,0,0
"tRF-23-I34JRX6ND3",1,0,15,3,1,4
"tRF-23-I3VF4YOZ0L",5,1,10,0,2,2
"tRF-23-I7JKIKYU05",2,0,0,0,0,0
"tRF-23-I8W47W1R00",15,2,30,5,1,8
"tRF-23-IBB7Z92KU",9,1,38,5,1,8
"tRF-23-IIZFMQ5JDJ",1,0,5,1,1,0
"tRF-23-INVDRI2QD1",0,0,0,1,0,0
"tRF-23-IPRVYJ9XW",1,1,0,1,0,0
"tRF-23-IRJ9ZH0SDZ",0,0,0,0,0,1
"tRF-23-ISQI45LSD4",0,1,0,0,0,0
"tRF-23-J09KZYJMDQ",0,0,6,1,0,0
"tRF-23-J0DPZOIP7",0,0,0,0,3,0
"tRF-23-J0K8UMPL6",0,0,0,0,0,1
"tRF-23-J291547OD9",1,0,7,0,0,0
"tRF-23-J4RPFQZD0M",0,0,5,1,0,1
"tRF-23-J8WPMN1E0J",2,0,0,1,0,0
"tRF-23-JB5Y13W00J",0,1,0,0,0,0
"tRF-23-JJ6RRNLIDJ",2,0,0,0,1,2
"tRF-23-JKIKYUY9DB",0,0,0,0,1,0
"tRF-23-JKIWRNL3DJ",1,0,0,0,0,0
"tRF-23-JM1PFQJD0Q",0,1,0,0,0,0
"tRF-23-JMRPFQJD0Q",17,5,14,9,4,14
"tRF-23-JMRPFQRD03",7,4,14,2,1,11
"tRF-23-JMW9RKM80E",0,0,5,0,0,0
"tRF-23-JN5XR4NPDP",0,0,5,0,0,0
"tRF-23-JNORRNLNDJ",1,0,0,0,0,0
"tRF-23-JOKP1M58DD",4,0,17,2,0,1
"tRF-23-JOWU1M7005",0,0,8,0,0,0
"tRF-23-JOWU1MN005",0,0,5,0,0,0
"tRF-23-JQR7F8YKDE",1,0,0,0,0,0
"tRF-23-JYSWRYVMDN",20,4,73,2,2,9
"tRF-23-K2821IQ405",2,0,1,1,0,0
"tRF-23-K2821NQ405",0,1,0,1,0,0
"tRF-23-K2RSI2WBV",4,0,0,2,1,0
"tRF-23-K34ZMKQ4DZ",0,0,0,1,0,0
"tRF-23-K77343RXDX",1,0,0,0,0,0
"tRF-23-K8HJ83MLDS",0,0,0,1,0,0
"tRF-23-KKM1M3WD0J",1,0,0,1,0,0
"tRF-23-KL0653L4D7",2,1,5,0,0,0
"tRF-23-KP1M58HUR",3,1,1,0,1,0
"tRF-23-KPQJ3KYUD5",2,0,1,0,0,0
"tRF-23-KQWYL1M30K",1,0,0,0,0,0
"tRF-23-L2DI2OOIDW",0,0,0,2,0,0
"tRF-23-L3W0WS72V",0,0,0,0,1,0
"tRF-23-L7P5QK11D4",0,0,8,0,0,0
"tRF-23-L7S5QKF1DY",1,0,9,0,0,0
"tRF-23-L85DMKYU05",1,0,1,0,0,0
"tRF-23-L981PV6RDY",4,1,30,2,1,3
"tRF-23-LO9D5HLYDR",0,0,0,0,0,1
"tRF-23-LOMLQHWUD5",0,0,8,0,0,0
"tRF-23-LPMBQ4NKDJ",2,6,20,3,1,2
"tRF-23-LPVJFVSP03",0,0,0,1,0,0
"tRF-23-LS9IVNRXS",1,1,0,0,0,0
"tRF-23-LSM1M3WE0J",0,0,0,0,1,0
"tRF-23-M3WBKSU8DV",2,0,0,0,0,0
"tRF-23-M3WD8S74DX",6,0,0,3,1,0
"tRF-23-M3WE8S68DM",10,9,0,2,0,0
"tRF-23-M3WE8SSPDX",1,1,0,0,0,0
"tRF-23-M3WEKSU8DV",7,2,20,5,1,0
"tRF-23-M8ZLSSXUD6",119,33,873,36,26,54
"tRF-23-MBQ4NKKQR",0,0,5,1,0,0
"tRF-23-MEF91SS2DU",5,0,8,4,3,2
"tRF-23-MH490VL8DJ",16,10,74,18,4,9
"tRF-23-MHN90VL8DJ",0,0,15,0,0,0
"tRF-23-MI7O3B1NDZ",0,1,4,1,0,0
"tRF-23-MIF91SS2DU",1,0,0,0,0,2
"tRF-23-ML5F82NZ7",1,0,0,0,0,0
"tRF-23-ML5F924Z7",0,0,0,0,1,0
"tRF-23-ML5FX24Z7",0,0,0,1,0,0
"tRF-23-MN1E8Y7ZD1",3,0,0,1,2,0
"tRF-23-MNFVNSQW0F",1,0,0,0,0,0
"tRF-23-MNH5SYNXD1",1,0,0,0,0,0
"tRF-23-MNLE308HDU",2,1,0,0,0,0
"tRF-23-MQ18Y3E7D8",5,1,0,5,0,4
"tRF-23-MW808HWK0D",1,0,0,0,0,0
"tRF-23-N1EH6KK80E",0,0,0,1,1,0
"tRF-23-N24YDRFU0J",0,0,20,1,0,0
"tRF-23-N2VIJNRP9",0,0,6,0,0,0
"tRF-23-N3S3RQJVS",0,0,0,0,0,1
"tRF-23-N3Z6KP7JDK",0,0,11,0,0,0
"tRF-23-N5ORNQY1D2",0,1,0,1,0,2
"tRF-23-N6B7P86ZD2",0,0,14,1,2,10
"tRF-23-N90VL8K80E",1,0,0,1,0,0
"tRF-23-NB8PLML302",7,1,28,2,3,5
"tRF-23-NBRRX3WBD3",0,1,0,0,0,0
"tRF-23-NF56FK87DZ",0,0,0,1,0,0
"tRF-23-NF56FK8RDZ",1,1,0,3,0,0
"tRF-23-NMEH623K0E",32,13,66,7,11,10
"tRF-23-NNBSBKZ3DZ",1,1,0,0,0,0
"tRF-23-NO0RNQYXD2",0,0,5,0,0,0
"tRF-23-NQDVLKZ4Z",0,1,8,1,0,2
"tRF-23-NRDF7UK80E",7,3,42,10,0,5
"tRF-23-NS56O2Z0DZ",0,0,0,1,0,0
"tRF-23-NS56O2ZFDZ",1,0,0,0,0,0
"tRF-23-NWB11KWHZ",0,1,0,0,0,0
"tRF-23-NY2WI0PRDY",0,0,6,1,0,0
"tRF-23-NYDRFO8U0E",1,1,3,5,2,8
"tRF-23-NYDRFU8U0E",10,6,39,13,3,3
"tRF-23-NYJWI0PRDY",0,0,0,0,2,0
"tRF-23-NYRVU4720E",1,1,0,2,0,0
"tRF-23-NZD75K8PDZ",2,0,6,0,0,1
"tRF-23-O0SRMNLBDP",2,0,0,0,0,0
"tRF-23-O7M8LO9LD8",1,0,0,0,0,0
"tRF-23-OB1690PQDY",2,0,13,1,0,0
"tRF-23-OB9ZFH69U",18,6,9,16,8,0
"tRF-23-OJ7IR1JODJ",0,1,0,0,0,0
"tRF-23-OR183O9ES",1,0,7,0,2,2
"tRF-23-OSM83O9ES",6,1,23,6,3,0
"tRF-23-P5QK11M30K",0,0,0,0,0,2
"tRF-23-PDRPLWND0J",0,0,0,0,0,1
"tRF-23-PE6HFVQ8W",0,0,0,0,1,3
"tRF-23-PR183O9ES",0,0,1,0,0,0
"tRF-23-PS5P4PW3X",3,1,36,2,3,5
"tRF-23-PU5P4PZKX",0,0,0,1,0,0
"tRF-23-PU73UKMYDR",1,0,0,0,2,0
"tRF-23-PW6Z1Y7O9",0,0,0,1,0,0
"tRF-23-Q1Q89P9L02",0,0,13,0,0,1
"tRF-23-Q3V2Y7RZ02",1,0,0,0,0,0
"tRF-23-Q622EVUIDI",1,0,0,0,0,2
"tRF-23-Q6D8V0L9DW",0,0,0,1,0,0
"tRF-23-Q6J6K6UDV",0,0,9,0,0,0
"tRF-23-Q6S8V0J6DR",0,0,3,0,0,0
"tRF-23-Q6S8V0J8DR",1,1,6,2,1,0
"tRF-23-Q72S3HPSDZ",19,4,39,13,9,5
"tRF-23-Q99P9P9NDD",4,1,45,0,3,1
"tRF-23-Q9B1XSRI0J",4,1,10,0,0,0
"tRF-23-QI45LSM1D4",12,6,122,8,4,18
"tRF-23-QIY5LSM1D4",0,0,6,0,0,1
"tRF-23-QNR8VP9L9",0,0,0,1,0,0
"tRF-23-QR535Z8L0P",14,10,17,13,2,8
"tRF-23-QXBR3XZ7V",0,0,6,0,0,0
"tRF-23-QXQ3FJIYW",0,0,0,2,0,0
"tRF-23-QZ2S3HPSDZ",22,3,32,8,8,5
"tRF-23-QZPHVU6RD4",1,0,0,0,0,2
"tRF-23-R008R959DJ",0,0,2,0,0,0
"tRF-23-R29P4P9LDS",57,23,404,46,39,65
"tRF-23-R2IP4O73X",0,0,0,0,1,0
"tRF-23-R2IP4OI3X",1,2,6,3,0,0
"tRF-23-R3SJ83RP9",0,0,0,4,0,0
"tRF-23-R3WE8RO8DX",3,1,6,0,0,1
"tRF-23-R7184KISD8",1,0,0,1,0,0
"tRF-23-R71KVUY9DZ",1,0,0,0,0,0
"tRF-23-R73290Q4DZ",0,0,0,1,0,0
"tRF-23-R95933JKR",0,0,0,1,0,2
"tRF-23-R959KUMK9",1,1,0,0,0,0
"tRF-23-R959MIL0DR",2,1,0,0,0,0
"tRF-23-R95R3JH9D1",0,2,0,0,0,0
"tRF-23-R9JP9P9NDD",10,2,42,4,1,1
"tRF-23-R9JP9PMNDD",5,3,43,9,8,7
"tRF-23-R9O9337KR",3,1,3,0,1,0
"tRF-23-R9O9NJ9IDM",0,0,0,1,1,1
"tRF-23-R9OMMIL0DR",1,0,0,3,0,0
"tRF-23-R9OMMIM0DR",2,0,8,0,0,0
"tRF-23-RESJ83RP9",0,0,0,1,0,0
"tRF-23-RK9P4P9LDS",19,5,162,16,19,20
"tRF-23-RKIP4OI3X",11,5,160,17,9,15
"tRF-23-RLXN48Z80D",0,0,0,0,0,1
"tRF-23-RN23KYY8D8",1,0,0,0,0,0
"tRF-23-RNLIK898D6",27,4,0,12,2,0
"tRF-23-RNLIK8V8D6",1,0,0,0,0,0
"tRF-23-RNLNK88KD6",10,4,0,1,0,0
"tRF-23-RNLNK8QJDU",1,0,0,0,0,0
"tRF-23-RNLNKSEKDS",0,0,0,2,0,0
"tRF-23-RO6WMMWLR",2,0,0,0,0,0
"tRF-23-RPD9W1X6DM",1,0,0,2,0,0
"tRF-23-RPFQ5DWXDD",0,0,0,1,0,0
"tRF-23-RPFQJDZXDD",2,0,0,0,1,0
"tRF-23-RPFQRDWXDD",0,0,7,0,0,0
"tRF-23-RPM8309M0F",1,0,0,0,0,0
"tRF-23-RPM830MM0F",0,0,8,0,0,2
"tRF-23-RQ59W3ZK0J",2,0,0,0,0,0
"tRF-23-RQ59WIWK0M",1,0,0,0,0,0
"tRF-23-RS9NS334DL",1,0,0,0,0,0
"tRF-23-RVU4727OX",1,0,0,0,0,0
"tRF-23-RX6NMH49V",9,1,106,17,9,18
"tRF-23-RX8HYV458",1,0,6,2,0,0
"tRF-23-RXPIN24Y7",88,41,196,69,26,54
"tRF-23-RXPIN2NY7",16,3,0,10,3,6
"tRF-23-RXSINHZ4DV",6,0,9,0,0,2
"tRF-23-S0299DWUDD",4,0,0,1,0,0
"tRF-23-S2I7L7P5D8",5,0,131,5,1,6
"tRF-23-S2PMFIZO03",1,0,0,0,0,0
"tRF-23-S3M8309NS",131,43,562,71,54,57
"tRF-23-S3RX8HWV0Q",0,0,6,0,0,0
"tRF-23-S4113KYU0J",0,0,0,1,0,0
"tRF-23-S4I7LZM3D8",0,0,13,0,0,0
"tRF-23-S5R8309NS",0,0,7,0,1,1
"tRF-23-SBKKRSL302",0,0,0,1,0,0
"tRF-23-SERXPIN2DQ",1,0,0,0,0,0
"tRF-23-SL73VL4YDN",1,0,6,0,0,0
"tRF-23-SP58309M0F",2,1,0,0,1,2
"tRF-23-SWRYVMMVDS",3,2,9,3,0,0
"tRF-23-SX73IEWSDQ",0,5,0,0,0,0
"tRF-23-SX7JV2Y8DM",0,1,0,0,0,0
"tRF-23-SXR3IEWS0E",0,0,8,0,0,0
"tRF-23-U1J0SU9EDL",12,1,0,4,0,0
"tRF-23-U45O6WND05",0,0,0,0,0,3
"tRF-23-U45O6WNE0J",1,0,0,0,0,0
"tRF-23-U736DFHFDP",3,0,6,2,0,0
"tRF-23-UFLUD3KYD7",0,2,0,0,0,1
"tRF-23-UJE76INB0J",1,0,0,0,0,0
"tRF-23-UJJKIWRNDL",1,0,3,0,0,2
"tRF-23-UK46S9Y8DY",0,0,0,0,0,2
"tRF-23-UK9YO9OED2",0,0,10,0,0,0
"tRF-23-UMPLBIUBDQ",1,0,4,0,0,0
"tRF-23-UMXKS6RNDF",1,1,8,0,1,1
"tRF-23-UMXKS6RNDI",0,0,0,0,1,0
"tRF-23-V0J8O9YED5",2,0,0,1,0,0
"tRF-23-V29K9UV3D9",13,3,47,10,5,6
"tRF-23-V2Y8L981DV",16,5,125,12,4,19
"tRF-23-V2Y8LZ81DV",3,0,0,1,1,1
"tRF-23-V3WD8YQ8D5",1,0,5,0,0,0
"tRF-23-V470VR310N",1,0,0,0,0,0
"tRF-23-V47P596V03",7,0,14,2,3,0
"tRF-23-V47PU9XW0N",26,8,44,7,1,3
"tRF-23-V47Q2WNI0O",0,0,0,0,0,1
"tRF-23-V4QP596V0Q",0,0,0,0,0,1
"tRF-23-V4V47Q2WDP",2,0,2,0,0,0
"tRF-23-VBY9PYKHD4",1,0,23,2,0,0
"tRF-23-VF4YO9XED2",6,3,57,3,8,6
"tRF-23-VF4YO9XEDK",0,1,0,0,0,0
"tRF-23-VH915HSXY",0,0,2,0,0,0
"tRF-23-VKS4I7LZ04",2,0,0,2,0,0
"tRF-23-VKS4I7MN04",2,0,0,0,0,0
"tRF-23-VM7JL3RXY",1,0,0,1,1,0
"tRF-23-VOXS1N7005",1,2,13,5,0,0
"tRF-23-VP9N15WV0E",39,13,72,20,11,12
"tRF-23-VP9N1QKSD3",0,0,5,0,0,0
"tRF-23-VUY9Q9R40L",0,0,0,0,0,1
"tRF-23-VUY9Q9R4DL",0,0,0,2,0,0
"tRF-23-W282FN5K05",1,0,0,0,4,0
"tRF-23-W282FNPK05",2,0,6,2,0,3
"tRF-23-W47W1R7HX",52,12,218,33,12,17
"tRF-23-W631QJ3K05",1,2,0,0,0,1
"tRF-23-W6RERNLND5",0,0,0,1,0,0
"tRF-23-WIWK9U53DJ",0,0,0,1,0,0
"tRF-23-WJ9X0UD304",0,0,5,0,0,1
"tRF-23-WJQ72S3HDV",0,0,20,0,0,0
"tRF-23-WJQZ2S3HDV",0,0,0,0,1,0
"tRF-23-WK9U53K80E",0,0,9,0,0,2
"tRF-23-WKXU53K80E",28,7,88,19,12,11
"tRF-23-WLBSDEL80E",0,0,3,0,1,0
"tRF-23-WO2F9IY9V",1,0,5,0,0,2
"tRF-23-WP9I1EWJDW",1,2,0,2,1,0
"tRF-23-WP9N1EWJDW",7,0,0,1,1,0
"tRF-23-WPMN1E8Y0E",2,0,0,0,0,0
"tRF-23-WR645J7K05",2,0,0,0,0,0
"tRF-23-WUH6QE3005",58,21,151,44,25,44
"tRF-23-WYUDJKSVDS",0,0,0,1,0,0
"tRF-23-X3HRL7S5D8",0,0,3,0,0,1
"tRF-23-X3W03650D9",1,0,0,0,0,0
"tRF-23-X3WB365KD9",3,0,0,0,0,0
"tRF-23-X78OP3X1D4",0,0,0,0,0,1
"tRF-23-XB0ZZRD2D1",3,2,12,0,1,2
"tRF-23-XBINVDRID1",1,0,0,0,0,0
"tRF-23-XF026ZEDDJ",0,0,9,0,0,0
"tRF-23-XJHJX78ODU",0,0,6,0,0,0
"tRF-23-XL5LDOV2DW",0,0,0,0,0,3
"tRF-23-XN13QXQW0F",0,2,0,0,0,0
"tRF-23-XSXMSL730H",33,16,43,21,11,15
"tRF-23-XZU5P21MDP",2,0,12,0,0,0
"tRF-23-XZX5S411DK",1,0,3,0,0,0
"tRF-23-Y2PPEVNK0Q",2,1,0,2,0,0
"tRF-23-Y6FPZD3K05",0,1,0,0,0,0
"tRF-23-Y7RZ81J3D9",0,0,5,0,0,0
"tRF-23-Y7RZ81JJD9",0,0,0,0,0,3
"tRF-23-Y874FK8SDZ",0,0,0,2,0,1
"tRF-23-Y87HFK8SDZ",2,0,25,3,0,2
"tRF-23-Y8HPDEXK0E",0,0,0,1,0,0
"tRF-23-Y8HPDEXP0E",0,0,0,0,0,1
"tRF-23-Y8L981PVD9",0,0,3,2,1,6
"tRF-23-Y91293WE03",1,0,0,0,0,0
"tRF-23-Y9PYKHM2D9",0,1,0,0,0,0
"tRF-23-YDLBRY730K",0,0,0,1,0,0
"tRF-23-YJE76INB0J",29,10,261,18,12,55
"tRF-23-YJRPFQZD0M",0,0,0,4,0,0
"tRF-23-YK7IVI7ODO",0,1,0,0,0,0
"tRF-23-YKISQI45DM",1,1,31,5,1,7
"tRF-23-YLI1539U0E",0,0,7,0,0,0
"tRF-23-YMENL725D8",0,0,0,0,0,2
"tRF-23-YO8R6546D2",0,1,0,2,0,0
"tRF-23-YOH5S8R6D2",0,0,10,0,0,2
"tRF-23-YOH6RVK7D2",0,0,2,0,0,0
"tRF-23-YOH9Q867D2",0,0,0,0,1,0
"tRF-23-YOH9R8B7D2",0,0,20,0,3,9
"tRF-23-YOH9R8O7D2",1,0,16,0,1,0
"tRF-23-YOHR6HFRD2",6,4,39,0,0,6
"tRF-23-YOHSRVK7D2",0,0,3,0,0,0
"tRF-23-YOS5S8R6D2",2,0,5,0,0,0
"tRF-23-YRI7XUK80E",2,0,0,0,0,0
"tRF-23-YRL51NLED3",3,2,13,6,3,8
"tRF-23-YRLV1NLED3",1,1,4,0,0,2
"tRF-23-YS56O2Z0DZ",3,0,4,1,3,5
"tRF-23-YU07QSNHD2",0,0,5,1,0,0
"tRF-23-YU0RSSX7D2",1,0,4,0,0,0
"tRF-23-YU476YQSD2",3,0,24,3,0,3
"tRF-23-YU8R1546D2",0,0,7,0,0,0
"tRF-23-YU8R6Q46D2",5,3,56,12,6,9
"tRF-23-YU8RFQ46D2",0,1,19,0,0,4
"tRF-23-YU8RSI66D2",0,0,0,1,0,1
"tRF-23-YU8SRZMFD2",0,0,14,0,0,2
"tRF-23-YUBS68BFD2",1,0,0,0,0,0
"tRF-23-YUH5S8R6D2",0,0,0,0,0,4
"tRF-23-YUH7PU4HD2",0,0,4,0,0,3
"tRF-23-YUHRE9XFD2",0,0,11,0,0,1
"tRF-23-YUHRERXFD2",1,0,0,0,0,0
"tRF-23-YUHRF8X7D2",0,0,22,1,1,0
"tRF-23-YUHRH7MSD2",0,0,0,1,0,0
"tRF-23-YUPR18B6D2",0,0,5,1,1,4
"tRF-23-YUS7PVRSD2",4,1,0,0,0,0
"tRF-23-YUS9R8B7D2",6,2,1,4,2,0
"tRF-23-YUY78ZZYD2",0,0,0,1,0,0
"tRF-23-YUY9H33PD2",1,0,20,0,0,1
"tRF-23-YUYR66EFD2",0,0,3,1,0,2
"tRF-23-YUYR66IFD2",0,0,5,0,0,0
"tRF-23-YUYRRHQFD2",1,1,6,0,1,1
"tRF-23-YUYSQSD2D2",1,0,5,1,0,2
"tRF-23-Z2Y912930K",0,0,1,0,0,0
"tRF-23-Z3FJ6KEWX",0,1,12,0,0,4
"tRF-23-Z3M8ZLSS0M",13,4,12,5,1,1
"tRF-23-Z4NY2V7K05",0,0,0,1,0,0
"tRF-23-Z631QJ3K05",0,0,5,0,0,0
"tRF-23-Z87HFK8SDZ",29,11,116,30,13,25
"tRF-23-Z8SSFK8SDZ",0,1,0,0,0,0
"tRF-23-ZB8P2ML30K",0,0,2,0,0,0
"tRF-23-ZEF3BLHK9",1,0,0,0,0,0
"tRF-23-ZF9Q5JK80E",0,0,8,0,2,2
"tRF-23-ZFMQ5JK80E",14,9,77,13,7,10
"tRF-23-ZK79KVPK05",0,0,7,0,0,0
"tRF-23-ZK8U53K80E",1,0,6,2,0,0
"tRF-23-ZKXU53K80E",183,61,594,144,94,147
"tRF-23-ZKXXI3630F",1,0,0,0,0,0
"tRF-23-ZLB6R3LU0E",1,0,0,0,0,0
"tRF-23-ZLBS5EOBD3",0,0,6,0,0,0
"tRF-23-ZLSSXUOLD2",8,0,19,3,1,8
"tRF-23-ZOSRI8WPD2",2,0,0,0,0,0
"tRF-23-ZPQR17NSDS",0,0,9,0,0,0
"tRF-23-ZR3FJ3WB0J",0,0,0,1,0,0
"tRF-23-ZR3HJ3WB0J",0,0,0,1,0,0
"tRF-23-ZRS3S3R602",1,0,0,0,0,0
"tRF-23-ZUH6QE3005",0,1,7,0,0,0
"tRF-23-ZVELXKKSDZ",31,7,91,19,16,21
"tRF-23-ZVILXKKSDZ",0,0,0,1,1,0
"tRF-23-ZXHY13KK0E",2,0,7,0,1,0
"tRF-24-04SXQ3V2KJ",8,0,9,6,2,2
"tRF-24-0653L45S0R",0,0,0,0,0,1
"tRF-24-0668K87SE5",1,0,1,0,0,0
"tRF-24-0IOB9ZFHIW",0,0,3,0,0,0
"tRF-24-0P58309N0Y",3,0,13,3,0,7
"tRF-24-0PD8309N0Y",0,0,0,0,0,2
"tRF-24-0VL8K87SF5",0,0,6,0,0,0
"tRF-24-1380877SI8",2,0,6,0,0,0
"tRF-24-17NSRJ7KKK",1,0,0,0,0,0
"tRF-24-184KISQIK2",0,0,0,0,1,0
"tRF-24-18WO6V9EKH",0,0,0,0,1,0
"tRF-24-18YKISQIH2",9,0,25,5,6,2
"tRF-24-19BMWIRJHJ",1,0,4,0,0,0
"tRF-24-1EBP4MJY23",0,0,0,0,0,3
"tRF-24-1EWJQ72S1M",0,0,1,0,0,0
"tRF-24-1HPSR9O914",1,0,3,0,0,0
"tRF-24-1NLI38NJJM",2,2,0,0,0,0
"tRF-24-1OHE10NOEJ",1,0,0,0,0,0
"tRF-24-1SS2P46IHO",3,0,0,0,0,0
"tRF-24-1W188MEN1V",0,0,0,1,1,0
"tRF-24-1XDDZZ4YE2",6,0,120,5,0,33
"tRF-24-1YIPRVYJKE",2,1,8,0,2,1
"tRF-24-24OUQHN2H5",0,0,0,0,1,0
"tRF-24-26SZSB32I0",3,0,0,0,0,0
"tRF-24-2ERPFVWI29",0,0,0,0,1,0
"tRF-24-2IUIX1Q7HV",22,5,96,22,10,25
"tRF-24-2J1Y0SR9IE",0,1,0,0,0,0
"tRF-24-2OOIQO4QIJ",0,0,3,0,0,1
"tRF-24-2QR7F8YKF5",1,0,0,1,0,0
